Blogon-BUrl-BConnect-BDisconnect-,BlBUBCBD
BUrl-BConnect-BDisconnect-BSendEmail-,BUBCBDBS
BConnect-BDisconnect-BSendEmail-BConnect-,BCBDBSBC
BDisconnect-BSendEmail-BConnect-BFileCopy-,BDBSBCBF
BSendEmail-BConnect-BFileCopy-BFileCopy-,BSBCBFBF
BConnect-BFileCopy-BFileCopy-BDisconnect-,BCBFBFBD
BFileCopy-BFileCopy-BDisconnect-BUrl-,BFBFBDBU
BFileCopy-BDisconnect-BUrl-CUrl-,BFBDBUCU
BDisconnect-BUrl-CUrl-CConnect-,BDBUCUCC
BUrl-CUrl-CConnect-CDisconnect-,BUCUCCCD
CUrl-CConnect-CDisconnect-CUrl-,CUCCCDCU
CConnect-CDisconnect-CUrl-CNologon-,CCCDCUCN
CDisconnect-CUrl-CNologon-Blogon-,CDCUCNBl
CUrl-CNologon-Blogon-BUrl-,CUCNBlBU
CNologon-Blogon-BUrl-BConnect-,CNBlBUBC
Blogon-BUrl-BConnect-BFileCopy-,BlBUBCBF
BUrl-BConnect-BFileCopy-BDisconnect-,BUBCBFBD
BConnect-BFileCopy-BDisconnect-BUrl-,BCBFBDBU
BFileCopy-BDisconnect-BUrl-CUrl-,BFBDBUCU
BDisconnect-BUrl-CUrl-CSendEmail-,BDBUCUCS
BUrl-CUrl-CSendEmail-CConnect-,BUCUCSCC
CUrl-CSendEmail-CConnect-CUrl-,CUCSCCCU
CSendEmail-CConnect-CUrl-CFileCopy-,CSCCCUCF
CConnect-CUrl-CFileCopy-CDisconnect-,CCCUCFCD
CUrl-CFileCopy-CDisconnect-CUrl-,CUCFCDCU
CFileCopy-CDisconnect-CUrl-CNologon-,CFCDCUCN
CDisconnect-CUrl-CNologon-Blogon-,CDCUCNBl
CUrl-CNologon-Blogon-BUrl-,CUCNBlBU
CNologon-Blogon-BUrl-BConnect-,CNBlBUBC
Blogon-BUrl-BConnect-BFileCopy-,BlBUBCBF
BUrl-BConnect-BFileCopy-BFileCopy-,BUBCBFBF
BConnect-BFileCopy-BFileCopy-BDisconnect-,BCBFBFBD
BFileCopy-BFileCopy-BDisconnect-BUrl-,BFBFBDBU
BFileCopy-BDisconnect-BUrl-CSendEmail-,BFBDBUCS
BDisconnect-BUrl-CSendEmail-CUrl-,BDBUCSCU
BUrl-CSendEmail-CUrl-CConnect-,BUCSCUCC
CSendEmail-CUrl-CConnect-CFileCopy-,CSCUCCCF
CUrl-CConnect-CFileCopy-CFileCopy-,CUCCCFCF
CConnect-CFileCopy-CFileCopy-CFileCopy-,CCCFCFCF
CFileCopy-CFileCopy-CFileCopy-CDisconnect-,CFCFCFCD
CFileCopy-CFileCopy-CDisconnect-CUrl-,CFCFCDCU
CFileCopy-CDisconnect-CUrl-CNologon-,CFCDCUCN
CDisconnect-CUrl-CNologon-Blogon-,CDCUCNBl
CUrl-CNologon-Blogon-BConnect-,CUCNBlBC
CNologon-Blogon-BConnect-BUrl-,CNBlBCBU
Blogon-BConnect-BUrl-BFileCopy-,BlBCBUBF
BConnect-BUrl-BFileCopy-BDisconnect-,BCBUBFBD
BUrl-BFileCopy-BDisconnect-BConnect-,BUBFBDBC
BFileCopy-BDisconnect-BConnect-BUrl-,BFBDBCBU
BDisconnect-BConnect-BUrl-BFileCopy-,BDBCBUBF
BConnect-BUrl-BFileCopy-BUrl-,BCBUBFBU
BUrl-BFileCopy-BUrl-BDisconnect-,BUBFBUBD
