Blogon-BUrl-BSendEmail-BUrl-,BlBUBSBU
BUrl-BSendEmail-BUrl-BConnect-,BUBSBUBC
BSendEmail-BUrl-BConnect-BUrl-,BSBUBCBU
BUrl-BConnect-BUrl-BFileCopy-,BUBCBUBF
BConnect-BUrl-BFileCopy-BFileCopy-,BCBUBFBF
BUrl-BFileCopy-BFileCopy-BFileCopy-,BUBFBFBF
BFileCopy-BFileCopy-BFileCopy-BUrl-,BFBFBFBU
BFileCopy-BFileCopy-BUrl-BDisconnect-,BFBFBUBD
BFileCopy-BUrl-BDisconnect-BUrl-,BFBUBDBU
BUrl-BDisconnect-BUrl-Blogon-,BUBDBUBl
BDisconnect-BUrl-Blogon-BConnect-,BDBUBlBC
BUrl-Blogon-BConnect-BUrl-,BUBlBCBU
Blogon-BConnect-BUrl-BFileCopy-,BlBCBUBF
BConnect-BUrl-BFileCopy-BUrl-,BCBUBFBU
BUrl-BFileCopy-BUrl-BDisconnect-,BUBFBUBD
BFileCopy-BUrl-BDisconnect-BUrl-,BFBUBDBU
BUrl-BDisconnect-BUrl-BConnect-,BUBDBUBC
BDisconnect-BUrl-BConnect-BUrl-,BDBUBCBU
BUrl-BConnect-BUrl-CFileCopy-,BUBCBUCF
BConnect-BUrl-CFileCopy-CUrl-,BCBUCFCU
BUrl-CFileCopy-CUrl-CFileCopy-,BUCFCUCF
CFileCopy-CUrl-CFileCopy-CUrl-,CFCUCFCU
CUrl-CFileCopy-CUrl-CDisconnect-,CUCFCUCD
CFileCopy-CUrl-CDisconnect-CUrl-,CFCUCDCU
CUrl-CDisconnect-CUrl-CConnect-,CUCDCUCC
CDisconnect-CUrl-CConnect-CFileCopy-,CDCUCCCF
CUrl-CConnect-CFileCopy-CFileCopy-,CUCCCFCF
CConnect-CFileCopy-CFileCopy-CUrl-,CCCFCFCU
CFileCopy-CFileCopy-CUrl-CFileCopy-,CFCFCUCF
CFileCopy-CUrl-CFileCopy-CUrl-,CFCUCFCU
CUrl-CFileCopy-CUrl-CFileCopy-,CUCFCUCF
CFileCopy-CUrl-CFileCopy-CDisconnect-,CFCUCFCD
CUrl-CFileCopy-CDisconnect-CUrl-,CUCFCDCU
CFileCopy-CDisconnect-CUrl-CConnect-,CFCDCUCC
CDisconnect-CUrl-CConnect-CDisconnect-,CDCUCCCD
CUrl-CConnect-CDisconnect-CUrl-,CUCCCDCU
CConnect-CDisconnect-CUrl-CConnect-,CCCDCUCC
