id,state,prestate,score,newscores
JFC0557,0,1,0.09372368,0.932105935521
MAR0955,1,-1,-0.149072779,1.89095753849
FOB0756,0,1,0.144786088,0.810161813513
QOS0878,0,1,0.125469585,0.854561814135
MDM0625,0,1,0.041762225,1.07364003225
MAS0025,1,-1,-0.044926613,1.36620398307
GHL0460,1,-1,-0.169167256,2.0338355349
FMG0527,1,-1,-0.028275118,1.3029651878
HCL0651,0,1,0.080730814,0.965662678496
SCP0130,0,1,0.088994207,0.944190827505
RSC0089,0,1,0.10787189,0.896802148983
CCM0136,0,1,0.121960063,0.862844606865
VCC0396,0,1,0.117517586,0.873428613423
WDD0366,1,1,0.108296877,0.895760729474
VIA0063,0,1,0.151239746,0.795756493139
BIH0745,1,-1,-0.134268619,1.79738698805
LIM0674,0,1,0.120750533,0.865715179127
ILH0958,0,1,0.051406153,1.04581259342
FEB0306,0,1,0.082555744,0.960880900386
IJM0776,1,1,0.152083437,0.793888521053
SBH0537,0,1,0.134640117,0.833236907551
HAH0760,0,1,0.116351762,0.876224794293
AHD0848,0,1,0.109374554,0.893124762059
AJN0607,0,1,0.138493208,0.824410956457
EIS0041,0,1,-0.014571736,1.25376454591
LJT0817,0,1,0.087782594,0.947310421142
BDI0533,0,1,0.116608984,0.875607185337
MGS0974,0,1,0.150220634,0.798017518597
BMT0528,0,1,0.112438753,0.885667561807
GCS0571,0,1,0.118937487,0.870033565895
BJP0134,0,1,0.130758198,0.842208371834
RRP0568,0,1,0.122928253,0.860552728979
MCF0600,1,-1,-0.173693989,2.06904765773
SAA0999,0,1,0.051703963,1.04496547144
THR0873,0,1,0.018662939,1.14362135237
FSC0601,1,1,0.141197446,0.818262780377
AKR0057,1,1,0.120828339,0.865530274294
GZC0735,0,1,0.144191255,0.811500054793
KMB0922,0,1,0.078420649,0.971748874054
CFM0767,0,1,0.152215101,0.79359732518
HAD0246,0,1,0.123752109,0.858606643309
LBF0214,0,1,0.108967948,0.894118492758
BWP0202,0,1,0.066819723,1.0028847696
FFC0891,0,1,0.121742941,0.8633592951
AJR0932,1,-1,-0.227025291,2.61764234992
BDV0168,1,-1,-0.044160505,1.36320500379
ZKS0899,0,1,0.108426676,0.895442876509
AJF0370,0,1,-0.011580004,1.24333754172
OCS0865,0,1,0.135421218,0.831441399169
AAM0658,1,-1,-0.031862327,1.31625472515
HCS0003,0,1,0.068868718,0.997314476023
NGF0157,0,1,0.146284801,0.806797963495
CPG0322,0,1,0.145821161,0.807837391683
OBH0499,0,1,0.106027383,0.901334675842
ATP0662,0,1,0.115425652,0.878451616919
DPM0423,0,1,0.117783727,0.872791379876
IRM0931,0,1,0.098822552,0.919238692844
HJB0742,1,-1,-0.040856829,1.35037458623
DBB0384,0,1,-0.01042843,1.23935279318
RHL0992,1,1,0.120152889,0.867136612516
HBO0413,1,1,0.128973425,0.84636030836
UAD0771,0,1,0.099051364,0.918665138548
LCB0664,0,1,0.138086833,0.825338139396
JCG0316,0,1,0.117444523,0.873603622562
HCM0267,0,1,0.021211367,1.13565590837
MTB0620,0,1,0.117550784,0.873349103765
CAM0681,0,1,0.122109669,0.862490119562
LBH0942,0,1,0.036047369,1.09050314979
MTT0901,0,1,0.097415903,0.922771932051
NDM0417,0,1,0.146353817,0.806643329808
JJM0203,1,1,0.151052972,0.796170491831
EAH0466,0,1,0.022960341,1.13022574658
CTA0020,0,1,0.107621276,0.897416780762
BAJ0654,0,-1,-0.048061536,1.37857041177
JJH0613,0,1,0.118390527,0.871340007501
DMK0257,0,1,0.111088697,0.888946279983
WIQ0567,0,1,0.149068322,0.800580238005
RAW0915,0,1,0.083493655,0.958432203292
SAB0781,0,1,0.116752308,0.875263219274
IBM0671,0,1,0.119817439,0.867935331248
GTD0219,1,1,-0.003295315,1.21501796145
CAH0936,1,-1,-0.024844619,1.29041931906
AIP0982,0,1,0.008632455,1.17560417608
JBD0616,0,1,0.140702342,0.819385592876
RUM0880,0,1,0.115591189,0.878053220656
SMY0792,0,1,0.134503376,0.833551564456
KJJ0293,0,1,0.151057116,0.796161304482
KKW0879,0,1,0.097993625,0.921319291414
RVF0201,0,1,0.151941953,0.794201529963
VFM0814,0,1,0.118943338,0.870019599708
SBN0866,0,1,-0.008913198,1.23413376763
DRR0162,1,1,0.146006902,0.807420851745
ESR0693,0,1,0.11920675,0.869391044006
CWR0502,0,1,0.133977868,0.834761741574
IKP0472,0,1,0.12178194,0.863266828355
GKO0078,0,1,0.134374157,0.833849003384
GNS0178,0,-1,-0.030349931,1.31063020131
LOM0086,0,1,0.141355104,0.817905503065
BBG0325,0,1,0.152215101,0.79359732518
RKD0604,1,-1,-0.119322205,1.71103997217
JMK0099,0,1,0.118649831,0.87072043401
DCH0843,1,-1,-0.169376191,2.03543377401
WIF0691,0,1,0.001292784,1.19967278268
DIW0118,0,1,0.14057592,0.819672498854
USH0199,0,1,0.146655045,0.8059686937
FKK0055,0,1,0.140912922,0.818907878815
TAP0551,1,-1,-0.029736508,1.30835789956
HMM0108,0,1,0.099726869,0.916973792607
XAA0104,0,1,0.117239872,0.874093989952
JTS0389,0,1,0.14657419,0.806149733454
KMW0545,0,1,0.146223811,0.806934634445
