id,states,newscore3,logscore
JFC0557,0,0.004325865,0.837972973
MAR0955,1,0.001286704,2.050501183
FOB0756,0,0.003640282,1.010523942
MDM0625,0,0.005438698,0.609045399
MAS0025,1,0.002359965,1.443938305
GHL0460,1,0.001188857,2.129592752
FMG0527,1,0.002199636,1.514293201
HCL0651,0,0.003454877,1.062798237
SCP0130,0,0.003638165,1.011105659
RSC0089,0,0.004683207,0.758601961
CCM0136,0,0.003462362,1.060634078
VCC0396,0,0.004587918,0.779158767
WDD0366,1,0.00400715,0.914504828
VIA0063,0,0.006030437,0.505765614
BIH0745,1,0.001687656,1.779244509
LIM0674,0,0.003956161,0.927310982
ILH0958,0,0.002877208,1.245764714
FEB0306,0,0.003619077,1.016366072
IJM0776,1,0.003854819,0.953261039
SBH0537,0,0.003872799,0.948607592
HAH0760,0,0.004182879,0.871585328
AHD0848,0,0.003486717,1.053624487
AJN0607,0,0.005360372,0.623551717
EIS0041,0,0.003951586,0.928468076
LJT0817,0,0.004022413,0.910703122
BDI0533,0,0.004147194,0.880153132
MGS0974,0,0.004060815,0.901201401
BMT0528,0,0.003908144,0.939522512
GCS0571,0,0.003589121,1.024677767
BJP0134,0,0.00537803,0.620262957
RRP0568,0,0.004534623,0.790843144
MCF0600,1,0.001076603,2.228774379
SAA0999,0,0.005645026,0.57181029
THR0873,0,0.005019784,0.689198188
FSC0601,1,0.004622134,0.77172859
AKR0057,1,0.004649419,0.765842827
GZC0735,0,0.004620237,0.772139091
KMB0922,0,0.003756325,0.979144007
CFM0767,0,0.003895709,0.942709402
HAD0246,0,0.004075009,0.897712138
LBF0214,0,0.004218214,0.863173277
BWP0202,0,0.003422179,1.07230761
FFC0891,0,0.004060714,0.901226273
AJR0932,1,0.000914064,2.392439781
BDV0168,1,0.002541381,1.369877459
ZKS0899,0,0.00572592,0.557581858
AJF0370,0,0.005584526,0.582585534
OCS0865,0,0.005006434,0.691861208
AAM0658,1,0.002270473,1.482596913
HCS0003,0,0.005156929,0.662243846
NGF0157,0,0.004643723,0.767068678
CPG0322,0,0.004219889,0.862776269
OBH0499,0,0.004871949,0.719091031
ATP0662,0,0.005084993,0.67629144
DPM0423,0,0.004287648,0.846846762
IRM0931,0,0.004169105,0.874883709
HJB0742,1,0.002546214,1.367977543
DBB0384,0,0.004979071,0.697341766
RHL0992,1,0.004460989,0.807214603
HBO0413,1,0.004603939,0.775672852
UAD0771,0,0.003726389,0.987145425
LCB0664,0,0.005037233,0.68572817
JCG0316,0,0.00503928,0.685321878
HCM0267,0,0.004916263,0.710036404
MTB0620,0,0.005379809,0.619932221
CAM0681,0,0.003845262,0.955743352
LBH0942,0,0.005293113,0.636178551
NDM0417,0,0.004460509,0.807322208
JJM0203,1,0.004497119,0.799148123
CTA0020,0,0.005413644,0.613662659
BAJ0654,0,0.002320849,1.460652026
JJH0613,0,0.005406302,0.615019783
DMK0257,0,0.004530457,0.791762276
WIQ0567,0,0.004724103,0.749907391
RAW0915,0,0.00375134,0.980471984
SAB0781,0,0.003614351,1.017672783
IBM0671,0,0.004260566,0.853183078
GTD0219,1,0.004129216,0.884497535
CAH0936,1,0.002593786,1.349466509
AIP0982,0,0.003895943,0.942649338
JBD0616,0,0.005083726,0.676540636
RUM0880,0,0.004489352,0.800876722
SMY0792,0,0.004333373,0.83623887
KJJ0293,0,0.00376244,0.97751741
KKW0879,0,0.005190214,0.655810164
RVF0201,0,0.004674936,0.76036962
VFM0814,0,0.003884896,0.945488879
SBN0866,0,0.003522873,1.043308243
DRR0162,1,0.004781423,0.737846892
ESR0693,0,0.004419,0.816671667
CWR0502,0,0.004889325,0.715530836
IKP0472,0,0.003929644,0.934036256
GKO0078,0,0.004973846,0.698391709
GNS0178,0,0.003221755,1.132658851
LOM0086,0,0.00470283,0.754420638
BBG0325,0,0.005335584,0.628186748
RKD0604,1,0.001982189,1.618383303
JMK0099,0,0.003817053,0.963106434
DCH0843,1,0.001158327,2.15560837
WIF0691,0,0.005021656,0.688825333
DIW0118,0,0.005055115,0.682184491
USH0199,0,0.004109165,0.889365248
FKK0055,0,0.004287442,0.846894808
TAP0551,1,0.002641193,1.331354384
XAA0104,0,0.004187339,0.870519644
JTS0389,0,0.004430024,0.814180091
KMW0545,0,0.003982239,0.920740869
PSF0133,1,0.003799451,0.96772851
CCL0068,1,0.004462748,0.806820373
RNP0211,0,0.004821184,0.729565552
LDG0459,0,0.00333412,1.098376317
BMG0917,0,0.00491466,0.710362518
PNH0761,0,0.003394844,1.080327283
MLL0598,0,0.004271997,0.850503694
BTL0226,1,0.001605225,1.829321159
SBN0971,0,0.003578064,1.027763221
BVC0790,0,0.004436215,0.812783558
ICH0294,0,0.004148993,0.879719439
DIB0285,1,0.004063135,0.90063025
LCC0819,1,0.004161092,0.876807553
MPM0220,1,0.00582806,0.53990091
JDB0169,0,0.005107526,0.671869955
MDH0580,1,0.003727616,0.986816206
WXH0872,0,0.004463799,0.806584896
GCL0016,0,0.00348695,1.053557664
DAL0673,0,0.004231072,0.860129704
CEJ0109,1,0.004289971,0.84630512
BAL0044,0,0.003866349,0.950274442
IUB0565,1,0.004822026,0.729390921
AMR0318,0,0.004762642,0.741782537
CAB0614,0,0.004931746,0.706892009
EHD0584,1,0.00207758,1.571381338
SNC0187,0,0.003753371,0.979930723
IBB0359,0,0.005059677,0.681282446
AJD0074,0,0.004298437,0.844333625
QJR0688,0,0.004654948,0.764654353
RDT0424,0,0.005063059,0.680614247
RLG0856,0,0.003998167,0.916749087
MOS0047,1,0.004737437,0.747088821
RSM0277,0,0.004319144,0.839527859
IIW0249,0,0.004914449,0.710405451
HVF0067,0,0.00454226,0.789160407
HWW0436,0,0.00500712,0.691724193
MVB0515,0,0.004096752,0.892390628
IJM0444,0,0.0044788,0.80322994
CIM0271,0,0.005090347,0.675239092
KCO0122,0,0.004170938,0.874444142
NAF0326,0,0.005089531,0.675399408
KLH0596,1,0.001503406,1.894851892
RMW0542,1,0.004450492,0.809570441
JHP0583,0,0.004190667,0.869725183
QRM0739,0,0.004893149,0.714749029
ESH0283,0,0.003907997,0.939560126
WBC0192,0,0.004078441,0.896870285
VSA0230,0,0.004006198,0.914742431
NKP0236,0,0.004194508,0.868809042
IBB0696,0,0.004282838,0.847969219
ABC0174,1,0.004699031,0.755228776
XWD0923,0,0.00428948,0.84641958
RHO0732,0,0.005006763,0.691795494
JNJ0556,0,0.005755836,0.552370796
AIB0948,0,0.004701991,0.754599057
MCD0125,0,0.003799786,0.967640344
EMW0772,0,0.003850141,0.954475322
PDH0716,0,0.004540675,0.789509414
MBJ0312,0,0.005190721,0.655712484
AJH0175,0,0.004443299,0.811187974
KBG0549,0,0.00389388,0.943179003
MPT0376,0,0.004488377,0.801093927
CQH0701,0,0.003697129,0.99502852
HDS0367,0,0.004379974,0.825542305
EGD0132,1,0.003966683,0.924654864
VTT0385,0,0.00465396,0.764866623
TSR0676,0,0.004788088,0.736453926
KCS0173,0,0.004964144,0.700344217
CCA0046,1,0.00391959,0.936598036
PMV0850,0,0.00384419,0.956022175
SGM0021,0,0.004700941,0.754822392
VSS0154,1,0.004362631,0.829509777
IKR0401,1,0.004112406,0.888576834
FTM0406,1,0.000913748,2.39278555
RAR0725,1,0.00400596,0.914801841
MLM0950,0,0.003798808,0.96789776
HPH0075,0,0.004513205,0.795577549
VMJ0546,0,0.004301991,0.843507154
OLW0689,0,0.00421467,0.864013796
HRL0540,0,0.005070376,0.679170116
BIS0247,0,0.003980111,0.921275385
PNL0301,1,0.003943917,0.930410701
CAS0507,0,0.002920764,1.230739867
JDC0030,0,0.003844736,0.955880153
NWT0098,1,0.004708383,0.753240556
PAD0773,0,0.003212984,1.135384993
BTR0403,0,0.004369825,0.82786213
DLM0051,0,0.005168879,0.659929256
AHM0410,0,0.004774114,0.739376686
CHM0821,0,0.003727828,0.986759335
JRG0207,1,0.001354175,1.99939268
AVM0947,0,0.004033397,0.907976144
HSB0196,0,0.006301079,0.461864204
BRM0995,0,0.005220437,0.650003978
HRB0351,0,0.004665793,0.762327284
PMC0328,0,0.003810211,0.964900525
ILJ0526,0,0.004018683,0.911630856
DFH0188,0,0.003754788,0.979553267
SJO0209,0,0.004590069,0.778690036
NGC0058,0,0.003696768,0.995126169
EDB0714,1,0.003766216,0.976514309
HFB0347,0,0.003863842,0.950923068
TNM0961,1,0.004152491,0.878876698
CQW0652,1,0.003902452,0.940980019
XHW0498,1,0.004932559,0.706727173
DIB0081,0,0.004615562,0.773151456
BSS0369,1,0.004607442,0.774912271
AAF0535,1,0.003902417,0.940988988
HDH0928,0,0.003806606,0.965847115
HXL0968,1,0.003939634,0.931497267
MOH0273,0,0.005307294,0.633502992
NMS0280,0,0.003628224,1.013841821
BBS0422,0,0.003793757,0.969228272
AOK0844,0,0.003956088,0.927329435
ESJ0670,0,0.003680563,0.999519363
KRL0501,1,0.005005461,0.692055577
MKW0441,0,0.004188466,0.870250536
BEH0615,0,0.004901196,0.713105836
JMD0520,0,0.003857726,0.952507202
GHH0288,0,0.003972505,0.923188215
NOB0181,0,0.004115519,0.887820143
CAA0612,0,0.004763977,0.741502269
BRB0355,0,0.004752896,0.743830977
TDS0984,0,0.003338505,1.097061991
LRR0148,0,0.004948886,0.703422592
CLB0774,0,0.005001763,0.692794643
JDF0593,0,0.004273005,0.850267766
CGB0637,0,0.0039014,0.94124963
BJM0111,0,0.004860425,0.72145921
KWE0082,0,0.004391505,0.8229131
JCR0172,0,0.005011247,0.690900307
ATE0869,0,0.004922271,0.708815084
IBS0836,0,0.003978653,0.921641773
